country,pind,pindo,ctrycd,col_uk,t_indep,col_uka,col_espa,col_otha,legor_uk,legor_so,legor_fr,legor_ge,legor_sc,prot80,catho80,confu,avelf,govef,graft,logyl,loga,yrsopen,gadp,engfrac,eurfrac,frankrom,latitude,gastil,cgexp,cgrev,ssw,rgdph,trade,prop1564,prop65,federal,africa,laam,eduger,spropn,yearele,yearreg,seats,maj,pres,lyp,semi,majpar,majpres,propres,dem_age,lpop,lat01,age,polityIV,spl,cpi9500,du_60ctry,magn,sdm,asiae,oecd,mining_gdp,gini_8090,con2150,con5180,con81,list,maj_bad,maj_gin,maj_old,pres_bad,pres_gin,pres_old,propar,wom_1st,yr_1st,wom_2nd,yr_2nd,wom_3rd,yr_3rd,wom_4th,yr_4th,LFTPARTY,FEMSUFRG,DEMOC,MARXLEN,FEMEDUC,FEMLABOR,FEMPROF,FEMORG,GDPPC,REL.CATH,REL.ISLM,REL.OTHR,RATIFIC,ABORTLEG
Argentina,0,0,213,0,183,0,0.268,0,0,0,1,0,0,2.7,91.6,0,0.1769318,4.475911,5.549095,9.6027,8.39295,0.089,0.579,0,0.836,1.723,-36.676,2.333333,14.00048,12.31048,6.754078,5831.075,18.42008,61.37738,9.293244,1,0,1,94.8,0,1983,1983,257.1111,0,1,8.670957,0,0,0,1,1983,3.535469,0.4075111,0.085,7,-0.5086034,6.506667,1,0.0933475,0.1889764,0,0,1.899387,,0,0,1,257.1111,0,,0,2.333333,,0.085,0,30.7,2001,26.5,1999,27.6,1997,21.8,1995, ,1947,6,0,52,29, ,2,8937,1,0,0,1,0
Australia,1,1,193,1,98,0.608,0,0,1,0,0,0,0,23.5,29.6,0,0.1127971,2.082613,1.797832,10.30421,8.67103,0.689,0.931,0.95,0.95,1.404,-32.219,1,25.78327,24.22912,8.60019,15499.72,38.79273,66.80672,11.6633,1,0,0,111.3375,0,1901,1901,147.6667,1,0,9.648578,0,1,0,0,1901,2.88418,0.3579889,0.495,10,-0.6793869,1.34,1,1,0.1904762,0,1,4.493364,39.86,0,0,0,0,1,39.86,0.495,0,0,0,0,25.3,2001,22.4,1998,15.5,1996,8.8,1993,33.1,1902,7,0,50,38,23.66412214,3,19285,0,0,0,1,1
Austria,0,0,122,0,250,0,0,0,0,0,0,1,0,6.5,88.8,0,0.0332123,2.56255,2.085785,10.13165,8.80521,0.778,0.949,0,0.98,3.601,48.231,1,40.14563,36.20243,17.88204,13313.13,78.26205,67.45173,15.10034,1,0,0,103.9571,0,1945,1945,183,0,0,9.496507,0,0,0,0,1945,2.075784,0.5359,0.275,10,-4.4101,2.478333,1,0.0491803,0.0728745,0,1,0.3989157,29,1,0,0,183,0,0,0,0,0,0,1,33.9,2002,26.8,1999,26.2,1995,21.9,1994,43.7,1918,7,0,50,39,47.91666667,3,20667,1,0,0,1,1
Bahamas,1,1,313,1,26,0.896,0,0,1,0,0,0,0,47.2,25.5,0,0,4.052546,4.005234,,,,0.614,0.865,0.865,3.638,24.7,1.722222,18.80976,17.46011,0.9501425,11768.36,101.8339,63.95686,4.389884,0,0,1,95.3,0,1973,1973,47,1,0,9.37317,0,1,0,0,1973,-1.294104,0.2744445,0.135,,-2.354258,,1,1,1,0,0,0.5927405,45,0,1,0,0,1.722222,45,0.135,0,0,0,0,20,2002,15,1997,8.2,1992,,, ,1961,7,0,52,34,56.89655172, ,15875,0,0,0,1,0
Bangladesh,1,1,513,0,28,0,0,0.888,1,0,0,0,0,0.2,0.2,0,0,6.129216,5.578219,8.41382,8.65712,0,0.313,0,0,2.333,23.88,3.166667,12.56501,13.79131,0.1292526,1611.785,25.35251,53.81113,3.232165,0,0,0,43.6,0.1,1991,1991,330,1,0,7.385098,0,0.8888889,0.1111111,0,1991,4.770514,0.2653333,0.045,4.777778,1.196045,7.71,0,0.9090909,1,1,0,0.0184373,33.635,0,0,1,0,3.166667,33.635,0.045,0,0,0,0,2,2001,9.1,1996,10.3,1991,,, ,1972,6,0,24,41,23.07692308,0,1331,0,1,0,1,0
Barbados,1,1,316,1,33,0.868,0,0,1,0,0,0,0,33.2,5.9,0,0.0733333,,,9.5687,8.54757,1,0.739,1,1,4.027,13.179,1,32.36219,,,7094.703,116.3507,65.1791,11.1198,0,0,1,,0,1966,1966,27.88889,1,0,8.867104,0,1,0,0,1966,-1.333799,0.1464333,0.17,,,,1,1,1,0,0,0.5067325,49,0,1,0,0,1,49,0.17,0,0,0,0,10.7,1999,10.7,1994,3.6,1991,,, ,1950,7,0,50,46,52.38095238,0,11051,0,0,0,1,1
Belarus,1,1,913,0,8,0,0,0.968,0,1,0,0,0,0,14,0,0.1247,6.317848,6.307248,,,,,,,,,4.875,35.52256,33.16174,11.75856,1569.121,116.5235,66.33025,12.00203,,0,0,93.28571,,1991,1991,145.2,1,1,7.358271,0,0,1,0,1991,2.332058,,0.045,0.875,-0.025145,6.2,0,1,,0,0,,29,0,0,1,0,4.875,29,0.045,4.875,29,0.045,0,10.3,2000,4.5,1996,3.8,1990,,, ,1919,2,0,51,47, ,2,4713,0,0,1,1,1
Belgium,0,0,124,0,169,0,0,0.324,0,0,1,0,0,0.4,90,0,0.3638344,3.233477,3.656614,10.29677,8.80474,0.778,0.954,0,0.345,3.96,50.837,1.166667,47.93909,43.65852,19.65333,13729.21,132.1419,66.41314,15.75815,0,0,0,116.5,0,1899,1853,184.4444,0,0,9.527281,0,0,0,0,1853,2.312287,0.5648556,0.735,10,-4.528397,4.043333,1,0.1378756,0.0970762,0,1,0.1559992,26.5,0,0,0,184.4444,0,0,0,0,0,0,1,23.3,1999,12,1995,9.4,1991,,,48.7,1948,7,0,50,33,47.08994709,5,20985,1,0,0,1,1
Belize,1,1,339,1,18,0.928,0,0,1,0,0,0,0,13.2,66.8,0,0.4090909,,,9.27805,,,,0.61,0.94,4.471,17.843,1.055556,30.06591,24.04008,1.221023,4099.562,112.6027,53.44993,4.69286,0,0,1,94.28,0,1981,1981,28.66667,1,0,8.318635,0,1,0,0,1981,-1.551368,0.1982556,0.095,,,,1,1,1,0,0,0.5678035,,0,0,1,0,1.055556,,0.095,0,,0,0,3.4,2002,6.9,1998,3.4,1993,,, ,1954,7,0,55,26,51.92307692, ,5590,1,0,0,1,1
Bolivia,0.1162393,0.1162393,218,0,174,0,0.304,0,0,0,1,0,0,2.3,92.5,0,0.5994118,5.445847,5.875754,8.50765,7.64048,0.733,0.381,0,0.372,2.087,-15.19,2.444444,20.98121,15.92514,3.871693,1794.202,48.88424,55.53318,3.797531,0,0,1,76.9,0,1986.667,1982,130,0,1,7.492316,0,0,0,1,1982,1.980603,0.1687778,0.09,9,-2.107076,7.31,1,0.0692308,0.1352679,0,0,6.682807,42,0,0,1,114.8889,0,0,0,2.444444,42,0.09,0,18.5,2002,11.5,1997,10.8,1993,,, ,1952,6,0,43,25,41.86046512,0,2598,1,0,0,1,0
